Test45|7.500000|403.200012|18.600000|11.600000|39.000000|100.799995|28.910000|1|3.000000|51.000000|Contributor67
Test53|3.000000|25.200001|27.300001|7.200000|13.500000|176.399994|34.849998|1|3.300000|91.500000|Contributor27
Test12|103.500000|239.400009|21.300001|5.200000|23.500000|398.999969|37.820000|0|3.300000|31.500000|Contributor82
Test11|61.500000|403.200012|21.900002|6.600000|11.000000|46.199997|22.969999|1|2.700000|52.500000|Contributor99
Test78|43.500000|258.300018|6.900000|11.800000|18.500000|239.399994|21.980000|1|4.200000|70.500000|Contributor68
Test5|69.000000|302.400024|19.200001|8.400001|20.000000|25.199999|27.920000|0|3.600000|135.000000|Contributor35
Test54|126.000000|144.900009|8.700001|9.600000|46.500000|4.200000|25.940001|0|1.500000|105.000000|Contributor29
Test38|55.500000|144.900009|7.800000|7.800000|22.000000|33.599998|30.889999|0|3.300000|99.000000|Contributor40
Test6|115.500000|189.000000|1.200000|11.600000|19.500000|62.999996|32.869999|0|3.300000|43.500000|Contributor82
Test12|145.500000|459.900024|23.100000|5.800000|35.000000|302.399994|23.959999|1|1.500000|31.500000|Contributor86
Test50|75.000000|327.600006|9.300000|14.800000|27.500000|281.399994|34.849998|0|1.800000|91.500000|Contributor90
Test83|79.500000|548.100037|17.100000|7.400000|3.500000|382.199982|26.930000|1|3.000000|99.000000|Contributor24
Test68|19.500000|189.000000|1.800000|9.200000|11.000000|369.599976|20.990000|1|2.400000|13.500000|Contributor9
Test41|142.500000|522.900024|14.400001|7.400000|12.000000|247.799988|29.900000|0|1.500000|93.000000|Contributor91
Test84|102.000000|623.700012|14.400001|4.200000|48.000000|84.000000|33.860001|0|3.300000|136.500000|Contributor50
Test93|42.000000|422.100006|8.100000|17.600000|0.000000|159.599991|37.820000|1|1.200000|79.500000|Contributor34
Test51|52.500000|100.800003|2.700000|2.800000|6.500000|71.399994|29.900000|0|1.800000|10.500000|Contributor83
Test2|133.500000|56.700001|13.200001|1.600000|12.000000|12.599999|37.820000|0|3.300000|28.500000|Contributor49
Test18|87.000000|0.000000|14.400001|0.600000|7.000000|365.399994|22.969999|1|0.900000|139.500000|Contributor85
Test92|57.000000|138.600006|21.600000|11.400001|4.500000|411.599976|28.910000|0|3.300000|147.000000|Contributor96
Test34|3.000000|69.300003|16.800001|17.600000|7.500000|382.199982|37.820000|0|0.600000|135.000000|Contributor79
Test16|66.000000|264.600006|20.700001|6.600000|37.500000|361.199982|21.980000|0|3.300000|42.000000|Contributor55
Test12|112.500000|560.700012|27.600000|15.200000|28.500000|415.799988|20.990000|1|1.800000|33.000000|Contributor98
Test85|3.000000|144.900009|16.500000|17.800001|0.500000|369.599976|20.990000|0|1.200000|4.500000|Contributor10
Test89|31.500000|340.200012|20.700001|6.400000|16.000000|239.399994|36.830002|0|0.300000|132.000000|Contributor85
Test60|67.500000|75.600006|12.300000|9.800000|17.000000|230.999985|24.950001|0|3.600000|102.000000|Contributor29
Test49|99.000000|233.100006|14.700001|5.800000|43.500000|403.199982|38.809998|0|0.900000|58.500000|Contributor53
Test1|21.000000|214.200012|16.500000|16.400000|44.000000|21.000000|25.940001|1|0.300000|145.500000|Contributor95
Test45|48.000000|50.400002|3.600000|10.600000|42.500000|230.999985|32.869999|0|2.400000|129.000000|Contributor71
Test61|43.500000|138.600006|28.800001|8.800000|40.500000|344.399994|25.940001|1|3.900000|31.500000|Contributor56
Test10|81.000000|151.200012|15.900001|7.800000|46.000000|247.799988|23.959999|1|3.300000|109.500000|Contributor50
Test91|87.000000|31.500000|26.100000|3.600000|34.000000|92.399994|33.860001|1|0.900000|129.000000|Contributor49
Test70|49.500000|371.700012|21.600000|14.800000|17.000000|100.799995|33.860001|0|1.200000|115.500000|Contributor25
Test80|3.000000|535.500000|27.600000|13.600000|31.500000|294.000000|32.869999|1|0.600000|27.000000|Contributor97
Test81|91.500000|453.600006|6.900000|4.800000|21.500000|104.999992|26.930000|1|1.200000|3.000000|Contributor27
Test0|96.000000|541.799988|6.600000|8.400001|46.000000|130.199997|24.950001|1|2.400000|7.500000|Contributor32
Test67|144.000000|378.000000|3.300000|6.600000|17.500000|294.000000|29.900000|1|4.200000|19.500000|Contributor60
Test2|87.000000|592.200012|22.800001|5.000000|9.500000|100.799995|34.849998|1|4.200000|60.000000|Contributor50
Test87|0.000000|327.600006|5.700000|12.800000|9.000000|352.799988|30.889999|1|0.900000|117.000000|Contributor66
Test9|96.000000|365.400024|12.900001|5.400000|38.000000|62.999996|29.900000|0|0.600000|15.000000|Contributor26
Test20|34.500000|176.400009|8.700001|5.400000|12.500000|310.799988|36.830002|0|2.100000|97.500000|Contributor86
Test16|3.000000|378.000000|19.200001|5.000000|47.500000|256.199982|36.830002|0|3.300000|34.500000|Contributor62
Test63|132.000000|151.200012|27.000002|4.000000|26.500000|197.399994|30.889999|0|1.800000|16.500000|Contributor26
Test0|115.500000|44.100002|19.500000|15.600000|29.000000|54.599998|20.000000|0|4.200000|93.000000|Contributor51
Test50|1.500000|548.100037|3.900000|1.600000|38.500000|100.799995|36.830002|0|3.000000|4.500000|Contributor39
Test50|108.000000|352.800018|10.500000|0.800000|5.500000|168.000000|24.950001|0|2.700000|139.500000|Contributor28
Test61|103.500000|447.300018|11.100000|11.400001|13.000000|239.399994|25.940001|1|3.300000|84.000000|Contributor85
Test65|43.500000|182.700012|6.900000|8.200000|42.500000|403.199982|36.830002|0|0.600000|25.500000|Contributor22
Test69|85.500000|453.600006|16.200001|6.800000|42.000000|260.399994|32.869999|1|1.500000|144.000000|Contributor32
Test42|34.500000|239.400009|22.500000|9.600000|33.500000|147.000000|30.889999|0|2.400000|10.500000|Contributor63
Test83|7.500000|214.200012|7.800000|14.000000|10.500000|104.999992|38.809998|0|0.000000|61.500000|Contributor11
Test5|114.000000|585.900024|16.800001|6.800000|18.500000|142.799988|32.869999|0|1.800000|118.500000|Contributor98
Test77|16.500000|390.600006|12.600000|11.000000|27.500000|172.199997|32.869999|0|0.000000|121.500000|Contributor48
Test10|27.000000|453.600006|22.500000|2.600000|20.000000|306.599976|35.840000|0|2.400000|78.000000|Contributor78
